action,oven,chickens,start_time,expected_end_time,timestamp,new_time_left,new_expected_end_time,actual_end_time,chickens_taken,chickens_left,time,cooking_duration,imputed_start_time,is_imputed
start_cooking,3,28.0,2024-10-08T17:29:54.220Z,2024-10-08T18:59:54.220Z,2024-10-08 17:29:54.264000+00:00,,,,,,,0.09695000000000001,2024-10-08 17:29:54.264000+00:00,False
finish_cooking,3,28.0,2024-10-18T13:29:54.000Z,2024-10-18T14:59:54.000Z,2024-10-08 19:01:22.618000+00:00,,,2024-10-08T19:01:22.560Z,,,,,2024-10-08 18:09:25.263868+00:00,True
post_rush,3,,,,2024-10-08 19:15:47.199000+00:00,,,,8.0,20.0,2024-10-08T19:15:47.030Z,,2024-10-08 19:15:47.199000+00:00,False
start_cooking,3,28.0,2024-10-08T19:15:52.604Z,2024-10-08T20:45:52.604Z,2024-10-08 19:15:52.654000+00:00,,,,,,,108.71188333333333,2024-10-08 19:15:52.654000+00:00,False
finish_cooking,3,28.0,2024-10-18T15:15:52.000Z,2024-10-18T16:45:52.000Z,2024-10-08 21:04:37.323000+00:00,,,2024-10-08T21:04:37.193Z,,,,,2024-10-08 20:12:39.968868+00:00,True
post_rush,3,,,,2024-10-08 21:04:45.431000+00:00,,,,18.0,10.0,2024-10-08T21:04:45.223Z,,2024-10-08 21:04:45.431000+00:00,False
start_cooking,3,32.0,2024-10-13T17:12:29.425Z,2024-10-13T18:42:29.425Z,2024-10-13 17:12:29.542000+00:00,,,,,,,82.30575,2024-10-13 17:12:29.542000+00:00,False
finish_cooking,3,32.0,2024-10-18T13:12:29.000Z,2024-10-18T14:42:29.000Z,2024-10-13 18:34:50.574000+00:00,,,2024-10-13T18:34:50.497Z,,,,,2024-10-13 17:42:53.219868+00:00,True
post_rush,3,,,,2024-10-13 19:09:17.815000+00:00,,,,32.0,0.0,2024-10-13T19:09:17.174Z,,2024-10-13 19:09:17.815000+00:00,False
start_cooking,3,24.0,2024-10-13T19:09:21.401Z,2024-10-13T20:39:21.401Z,2024-10-13 19:09:21.745000+00:00,,,,,,,87.03763333333333,2024-10-13 19:09:21.745000+00:00,False
finish_cooking,3,24.0,2024-10-18T15:09:21.000Z,2024-10-18T16:39:21.000Z,2024-10-13 20:36:27.106000+00:00,,,2024-10-13T20:36:26.929Z,,,,,2024-10-13 19:44:29.751868+00:00,True
post_rush,3,,,,2024-10-13 20:42:24.543000+00:00,,,,24.0,0.0,2024-10-13T20:42:24.352Z,,2024-10-13 20:42:24.543000+00:00,False
start_cooking,4,32.0,2024-10-04T16:37:01.787Z,2024-10-04T18:07:01.787Z,2024-10-04 16:37:02.083000+00:00,,,,,,,34.63686666666667,2024-10-04 16:37:02.083000+00:00,False
adjust_cooking_time,4,,,,2024-10-04 16:37:04.570000+00:00,30.0,2024-10-04T17:07:04.421Z,,,,,,2024-10-04 16:37:04.570000+00:00,False
finish_cooking,4,32.0,,2024-10-18T13:07:04.000Z,2024-10-04 17:20:47.048000+00:00,,,2024-10-04T17:20:46.883Z,,,,,2024-10-04 16:28:49.693868+00:00,True
